Menu,Energy (kcal),Protein (g),Fat (g),Carbohydrates (g),Sodium (mg),Portion Size (g)
ganyong mentah,81.977,1.8,0.1,19.5,3,100
garut / irut mentah,251.906,5.5,0.3,59.5,8,100
jagung kuning pipil baru,108.028,3.3,1.3,25.1,17,100
jagung kuning pipil lama,362.085,8.1,3.6,76.9,35,100
jagung kuning segar,108.028,3.3,1.3,25.1,17,100
jagung muda berjanggel,59.033,1.8,0.7,13.8,9,100
jagung putih pipil baru,108.028,3.3,1.3,25.1,17,100
jagung putih pipil lama,362.085,8.1,3.6,76.9,35,100
jagung putih segar,108.028,3.3,1.3,25.1,17,100
kathul beras merah,216.056,15.6,4.3,64.5,2,100
katul beras,216.056,15.6,4.3,64.5,2,100
kentang,92.971,2,0.1,21.6,5,100
kentang hitam,92.971,2,0.1,21.6,5,100
kimpul mentah,112.091,2.4,0.1,26.3,3,100
krecek irut,348.94,7.6,0.4,82.4,11,100
makaroni,353.003,12,1.8,70.8,3,100
martabak manis,222.031,2.5,17.1,15.2,25,100
mie + bakso (6) + kuah,147.941,11.7,2,19.8,21,100
mie + kuah,141.01,4.8,0.7,28.3,1,100
mie ayam,141.01,4.8,0.7,28.3,1,100
mie bakso,141.01,4.8,0.7,28.3,1,100
mie basah,141.01,4.8,0.7,28.3,1,100
mie kering,325.04,9.6,6.4,56.6,2,100
mie soun,380.966,0.3,0.1,91.3,9,100
misoa,309.983,10.6,1.5,62.3,2,100
nasi goreng,249.994,3.5,17.2,20.1,9,100
nasi jagung,120.934,2.8,0.6,27.2,7,100
nasi liwet,130.016,2.4,0.2,28.6,0,100
nasi lunak and kangkung,101.097,2.4,0.2,22,4,100
nasi putih,130.016,2.4,0.2,28.6,0,100
nasi putih kukus,130.016,2.4,0.2,28.6,0,100
nasi soto,65.008,1.2,0.1,14.3,0,100
nasi tim,117.11,2.2,0.2,25.7,0,100
nasi tim ayam,140.054,5.8,3,21.5,11,100
nasi tim bayam,99.902,2.1,0.2,21.8,2,100
nasi tim daging,155.111,5.4,4.8,21.5,8,100
nasi tim wortel kentang,104.921,2,0.2,23.2,7,100
nasi uduk,118.066,2.1,1.5,23.5,1,100
nastar,206.974,4.4,2,42.9,22,100
pati ganyong,380.966,0.3,0.1,91.3,9,100
pati irut / kerut,380.966,0.3,0.1,91.3,9,100
roti bakar meises,283.932,8.6,4.3,52.5,579,100
roti choklat,283.932,8.6,4.3,52.5,579,100
roti daging,284.888,10.3,5.8,46.7,553,100
roti goreng,396.023,7,22.4,41.5,487,100
roti isi kac ijo,257.881,8.7,2.8,48.8,549,100
roti isi nanas,251.906,7.5,2.6,49.1,518,100
roti isi strawberry,251.906,7.5,2.6,49.1,518,100
roti keju,280.108,9.6,4.5,49.4,610,100
roti kukis,283.932,8.6,4.3,52.5,579,100
roti manis,284.888,7.9,2.7,56.7,548,100
roti mocca,283.932,8.6,4.3,52.5,579,100
roti mukka special,283.932,8.6,4.3,52.5,579,100
roti pawa rp.50,273.894,8.8,3,51.9,609,100
roti pisang,146.985,3.3,1.3,32,183,100
roti selei nenas,280.108,8.4,2.9,54.3,579,100
roti sisir,183.074,5,2,36,311,100
roti surabaya,183.074,5,2,36,311,100
roti susu,305.92,10.8,6.2,51,598,100
roti tawar,273.894,8.8,3,51.9,609,100
roti tawar manis,284.888,7.9,2.7,56.7,548,100
sagu lempeng,201.955,2.5,0.3,46.2,3,100
sarimie,141.01,4.8,0.7,28.3,1,100
senthe,150.092,2.4,0.1,35.4,4,100
singkong kuning,125.953,1.1,0.3,30.8,5,100
singkong oyek,341.053,1.1,0.3,82.1,8,100
singkong parut,130.972,1.1,0.3,31.9,2,100
singkong putih,130.972,1.1,0.3,31.9,2,100
supermie,141.01,4.8,0.7,28.3,1,100
suweg mentah,97.034,2.1,0.1,22.9,3,100
talas mentah,112.091,2.4,0.1,26.3,3,100
tempe gembus,199.087,19,7.7,17,6,100
tempe kedele busuk,199.087,19,7.7,17,6,100
tempe koro benguk,140.054,9,1.5,23.8,5,100
tempe koro pedang,126.909,8.7,0.5,22.8,2,100
tempe kedele murni,199.087,19,7.7,17,6,100
tempe lamtoro,131.928,9.1,0.5,23.6,6,100
tempeh goreng,336.99,19,23.7,17,6,100
tepung hunkwee,380.966,0.3,0.1,91.3,9,100
toge kacang kedele mentah,121.89,13.1,6.7,9.6,14,100
toge kacang hijau mentah,60.945,6.6,3.4,4.8,7,100
toge kacang tolo mentah,60.945,6.6,3.4,4.8,7,100
wijen,572.883,17.7,49.7,23.5,11,100
gucang,531.058,20.6,39.4,32.9,15,100
gude,319.065,22,1.2,57.1,15,100
jengkol,42.064,2.7,0.1,7.8,2,100
kacang hijau,115.915,7.7,0.5,20.8,4,100
kacang kapri mentah,83.889,5.4,0.2,15.6,3,100
kacang kapri muda mentah,83.889,5.4,0.2,15.6,3,100
kacang merah,335.078,23,1.3,60.2,5,100
kacang mete  kulit mentah,177.099,6,15.7,6.1,3,100
kacang mete kupas kulit,588.896,20,52.2,20.4,11,100
kacang panjang biji,34.894,1.9,0.3,7.9,3,100
kacang panjang mentah,34.894,1.9,0.3,7.9,3,100
kacang tanah kulit,413.948,18.8,35.9,11.8,13,100
kacang tanah muda kulit,413.948,18.8,35.9,11.8,13,100
kacang tanah tanpa kulit,566.908,25.8,49.2,16.1,18,100
kacang tolo (tonggak),115.915,7.7,0.5,20.8,4,100
kapri muda mentah,34.894,1.9,0.3,7.9,3,100
kecipir biji,348.94,30.7,16.8,25.4,2,100
kecipir muda mentah,34.894,1.9,0.3,7.9,3,100
kedele hitam,414.904,36.5,20,30.3,3,100
kedele kuning,414.904,36.5,20,30.3,3,100
kembang tahu mentah,380.01,40.5,24,9.5,35,100
kemiri,588.896,20,52.2,20.4,11,100
ketapang (buah),588.896,20,52.2,20.4,11,100
